nuclide,energy_ev,intensity,source
24al,821908.0,0.000000016989,IAEA_Livechart_API
24al,821992.35,0.00000000063,IAEA_Livechart_API
24al,1089362.0,0.0000021812,IAEA_Livechart_API
24al,1090578.0,0.00000014014,IAEA_Livechart_API
24al,1090662.35,0.000000005194,IAEA_Livechart_API
24al,1367317.0,0.000894627,IAEA_Livechart_API
24al,1367317.0,0.000040876,IAEA_Livechart_API
24al,1368533.0,0.0000026268,IAEA_Livechart_API
24al,1368533.0,0.0000574911,IAEA_Livechart_API
24al,1368617.35,0.00000212823,IAEA_Livechart_API
24al,1368617.35,0.00000009724,IAEA_Livechart_API
24al,1770612.0,0.0000022,IAEA_Livechart_API
24al,1771828.0,0.0000001412,IAEA_Livechart_API
24al,1771912.35,0.00000000524,IAEA_Livechart_API
24al,1898392.0,0.0000023698,IAEA_Livechart_API
24al,1899608.0,0.0000001517,IAEA_Livechart_API
24al,1899692.35,0.0000000056334,IAEA_Livechart_API
24al,1951072.0,0.00000043146,IAEA_Livechart_API
24al,1952288.0,0.00000002773,IAEA_Livechart_API
24al,1952372.35,0.00000000102648,IAEA_Livechart_API
24al,2379692.0,0.0000000777,IAEA_Livechart_API
24al,2380908.0,0.0000000049913,IAEA_Livechart_API
24al,2380992.35,0.000000000185,IAEA_Livechart_API
24al,2752722.0,0.000103124,IAEA_Livechart_API
24al,2753938.0,0.00000662592,IAEA_Livechart_API
24al,2754022.35,0.00000024563,IAEA_Livechart_API
24al,2867992.0,0.0000001904,IAEA_Livechart_API
24al,2868192.0,0.000002618,IAEA_Livechart_API
24al,2869208.0,0.000000012232,IAEA_Livechart_API
24al,2869292.35,0.0000000004536,IAEA_Livechart_API
24al,2869408.0,0.00000016808,IAEA_Livechart_API
24al,2869492.35,0.000000006237,IAEA_Livechart_API
24al,3376992.0,0.000000057577,IAEA_Livechart_API
24al,3378208.0,0.0000000036937,IAEA_Livechart_API
24al,3378292.35,0.00000000013674,IAEA_Livechart_API
24al,3491992.0,0.0000000514,IAEA_Livechart_API
24al,3493208.0,0.000000003296,IAEA_Livechart_API
24al,3493292.35,0.0000000001224,IAEA_Livechart_API
24al,3864832.0,0.0000078832,IAEA_Livechart_API
24al,3866048.0,0.00000050596,IAEA_Livechart_API
24al,3866132.3499999996,0.000000018772,IAEA_Livechart_API
24al,4199232.0,0.00000541494,IAEA_Livechart_API
24al,4200448.0,0.000000347328,IAEA_Livechart_API
24al,4200532.350000001,0.000000012864,IAEA_Livechart_API
24al,4236292.0,0.0000003325,IAEA_Livechart_API
24al,4236652.0,0.0000048013,IAEA_Livechart_API
24al,4237508.0,0.00000002135,IAEA_Livechart_API
24al,4237592.35,0.00000000079,IAEA_Livechart_API
24al,4237868.0,0.000000307933,IAEA_Livechart_API
24al,4237952.35,0.0000000114076,IAEA_Livechart_API
24al,4639882.0,0.00000400824,IAEA_Livechart_API
24al,4641098.0,0.000000257184,IAEA_Livechart_API
24al,4641182.35,0.0000000095418,IAEA_Livechart_API
24al,5059392.0,0.000000037476,IAEA_Livechart_API
24al,5060608.0,0.0000000024048,IAEA_Livechart_API
24al,5060692.350000001,0.00000000008928,IAEA_Livechart_API
31si,1263952.0,0.000000931274,IAEA_Livechart_API
