pl_name,hostname,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_dist,disc_facility
"K2-36 b","K2-36",0.0228800000,0.0001000000,-0.0001000000,109.74900000,"K2"
"Kepler-21 b","Kepler-21",0.0434000000,0.0002100000,-0.0003200000,108.52200000,"Kepler"
"HATS-3 b","HATS-3",0.0485000000,0.0004000000,-0.0006000000,411.21100000,"HATSouth"
"K2-417 b","K2-417",0.0630000000,0.0060000000,-0.0140000000,94.04240000,"K2"
"K2-18 c","K2-18",0.0600000000,0.0030000000,-0.0030000000,38.02660000,"La Silla Observatory"
"K2-253 b","K2-253",0.0506000000,0.0010000000,-0.0011000000,876.56500000,"K2"
"Kepler-491 b","Kepler-491",0.0519100000,0.0005100000,-0.0005100000,630.78500000,"Kepler"
"HATS-36 b","HATS-36",0.0523000000,0.0006000000,-0.0006000000,856.43600000,"HATSouth"
"K2-216 b","K2-216",0.0280000000,0.0030000000,-0.0070000000,115.46100000,"K2"
"HIP 81208 C b","HIP 81208 C",23.0400000000,13.8800000000,-6.5500000000,147.53300000,"Paranal Observatory"
"Kepler-471 b","Kepler-471",0.0626000000,,,1249.41000000,"Kepler"
"gam Lib c","gam Lib",2.3180000000,0.0040000000,-0.0030000000,47.40170000,"Okayama Astrophysical Observatory"
"Kepler-289 d","Kepler-289",0.3300000000,0.0200000000,-0.0200000000,704.43800000,"Kepler"
"KELT-8 b","KELT-8",0.0455000000,0.0008300000,-0.0008800000,197.57200000,"KELT"
"WASP-174 b","WASP-174",0.0550300000,0.0005600000,-0.0005600000,410.14900000,"SuperWASP-South"
"Kepler-139 e","Kepler-139",3.2357963900,,,391.03800000,"W. M. Keck Observatory"
"HD 134606 b","HD 134606",0.1046000000,0.0023000000,-0.0024000000,26.79090000,"Multiple Observatories"
"HIP 66074 b","HIP 66074",0.7990000000,0.0350000000,-0.0350000000,35.44380000,"European Space Agency (ESA) Gaia Satellite"
"HD 134606 c","HD 134606",0.3007000000,0.0066000000,-0.0069000000,26.79090000,"Multiple Observatories"
"HD 134606 d","HD 134606",1.9410000000,0.0430000000,-0.0460000000,26.79090000,"Multiple Observatories"
"KMT-2021-BLG-1150L b","KMT-2021-BLG-1150L",4.5000000000,1.6000000000,-1.4000000000,3800.00000000,"KMTNet"
"Luhman 16 b","Luhman 16 A",3.5200000000,0.4300000000,-0.4000000000,,"Multiple Observatories"
"HD 134606 e","HD 134606",0.0527000000,0.0011000000,-0.0012000000,26.79090000,"Multiple Observatories"
"Kepler-849 b","Kepler-849",1.1370000000,0.0340000000,-0.0300000000,822.13400000,"Kepler"
"18 Del b","18 Del",2.4760000000,0.0020000000,-0.0020000000,76.22200000,"Okayama Astrophysical Observatory"
"6 Lyn b","6 Lyn",2.0280000000,0.0030000000,-0.0050000000,54.65990000,"Okayama Astrophysical Observatory"
"GJ 724 b","GJ 724",0.0468500000,0.0007700000,-0.0007900000,16.96580000,"Calar Alto Observatory"
"KMT-2018-BLG-0885L b","KMT-2018-BLG-0885L",1.0700000000,0.1700000000,-0.1900000000,6890.00000000,"KMTNet"
"81 Cet b","81 Cet",2.1040000000,0.0030000000,-0.0030000000,101.26000000,"Okayama Astrophysical Observatory"
"HD 104985 b","HD 104985",0.7150000000,0.0000000000,0.0000000000,100.57600000,"Okayama Astrophysical Observatory"
"GJ 3988 b","GJ 3988",0.0405000000,0.0011000000,-0.0012000000,9.91050000,"Calar Alto Observatory"
"KMT-2019-BLG-0335L b","KMT-2019-BLG-0335L",1.6400000000,0.2100000000,-0.2600000000,7710.00000000,"KMTNet"
"HD 145457 b","HD 145457",0.7620000000,0.0010000000,-0.0010000000,135.29200000,"Subaru Telescope"
"HD 167042 b","HD 167042",1.2200000000,0.0010000000,-0.0010000000,49.66330000,"Lick Observatory"
"WASP-74 b","WASP-74",0.0344300000,0.0003600000,-0.0003600000,149.21600000,"SuperWASP"
"CI Tau c","CI Tau",0.1700000000,0.0800000000,-0.0800000000,157.99800000,"Multiple Observatories"
"Kepler-257 b","Kepler-257",0.0340000000,,,780.25600000,"Kepler"
"HD 81688 b","HD 81688",0.6480000000,0.0000000000,0.0000000000,85.71830000,"Okayama Astrophysical Observatory"
"WASP-82 b","WASP-82",0.0447000000,0.0007000000,-0.0007000000,275.66400000,"SuperWASP"
"KMT-2022-BLG-0371L b","KMT-2022-BLG-0371L",3.0200000000,0.4500000000,-0.5600000000,7140.00000000,"KMTNet"
"kap CrB b","kap CrB",2.5000000000,0.0040000000,-0.0090000000,30.06510000,"Lick Observatory"
"GJ 9404 b","GJ 9404",0.0943000000,0.0036000000,-0.0036000000,23.88390000,"Roque de los Muchachos Observatory"
"HD 100777 b","HD 100777",1.0600000000,0.0200000000,-0.0100000000,49.53360000,"La Silla Observatory"
"HD 180314 b","HD 180314",1.4480000000,0.0000000000,0.0000000000,122.36200000,"Subaru Telescope"
"nu Oph b","nu Oph",1.7650000000,0.0000000000,0.0000000000,46.21070000,"Okayama Astrophysical Observatory"
"TOI-1249 b","TOI-1249",0.1090000000,0.0020000000,-0.0020000000,139.49000000,"Transiting Exoplanet Survey Satellite (TESS)"
"NGC 2682 Sand 1429 b","NGC 2682 Sand 1429",0.3840000000,0.0040000000,-0.0040000000,852.79300000,"Multiple Observatories"
"nu Oph c","nu Oph",5.8290000000,0.0060000000,-0.0060000000,46.21070000,"Okayama Astrophysical Observatory"
"HD 5608 b","HD 5608",1.7900000000,0.0070000000,-0.0030000000,58.11050000,"Okayama Astrophysical Observatory"
"75 Cet b","75 Cet",1.9120000000,0.0020000000,-0.0030000000,82.96130000,"Okayama Astrophysical Observatory"
"HD 28254 b","HD 28254",2.4500000000,0.0300000000,-0.0400000000,55.28840000,"La Silla Observatory"
"omi UMa b","omi UMa",3.6910000000,0.0200000000,-0.0210000000,54.91490000,"Okayama Astrophysical Observatory"
"TOI-6330 b","TOI-6330",0.0576300000,0.0007300000,-0.0007700000,139.04200000,"Transiting Exoplanet Survey Satellite (TESS)"
"Teegarden's Star b","Teegarden's Star",0.0259000000,0.0008000000,-0.0009000000,3.83078000,"Calar Alto Observatory"
"LP 791-18 b","LP 791-18",0.0097800000,0.0001200000,-0.0001200000,26.49270000,"Transiting Exoplanet Survey Satellite (TESS)"
