pl_name,hostname,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,sy_dist,disc_facility
"WASP-14 b","WASP-14",8.84000000,1.40000000,-1.40000000,"Mass",161.99700000,"SuperWASP"
"HAT-P-2 b","HAT-P-2",9.02000000,0.10000000,-0.10000000,"Mass",127.77400000,"HATNet"
"HAT-P-42 b","HAT-P-42",1.04400000,0.08300000,-0.08300000,"Mass",405.23800000,"HATNet"
"WASP-59 b","WASP-59",0.86300000,0.04500000,-0.04500000,"Mass",115.93600000,"SuperWASP"
"HAT-P-39 b","HAT-P-39",0.59900000,0.09900000,-0.09900000,"Mass",697.00400000,"HATNet"
"alf Ari b","alf Ari",1.80000000,0.20000000,-0.20000000,"Msini",20.21019000,"Bohyunsan Optical Astronomical Observatory"
"KOI-55 b","KOI-55",0.00140000,,,"Mass",1231.02000000,"Kepler"
"GJ 536 b","GJ 536",0.02004226,0.00119561,-0.00119561,"Msini",10.40920000,"La Silla Observatory"
"WTS-2 b","WTS-2",1.12000000,0.16000000,-0.16000000,"Mass",1030.76834437,"United Kingdom Infrared Telescope"
"KELT-6 c","KELT-6",3.71000000,0.21000000,-0.21000000,"Msini",240.72600000,"Multiple Observatories"
"KOI-55 c","KOI-55",0.00210000,,,"Mass",1231.02000000,"Kepler"
"Ross 458 c","Ross 458",6.00000000,,,"Mass",11.50940000,"Las Campanas Observatory"
"Kepler-38 b","Kepler-38",0.38400000,,,"Mass",1174.59000000,"Kepler"
"Kepler-30 d","Kepler-30",0.07300000,0.00800000,-0.00800000,"Mass",914.22100000,"Kepler"
"ROXs 42 B b","ROXs 42 B",9.00000000,3.00000000,-3.00000000,"Mass",143.59000000,"Multiple Observatories"
"HD 27894 b","HD 27894",0.61900000,0.05000000,-0.05000000,"Msini",43.82140000,"La Silla Observatory"
"Kepler-50 c","Kepler-50",0.02580009,,,"Mass",250.11000000,"Kepler"
"HD 233604 b","HD 233604",6.57500000,,,"Msini",847.05800000,"McDonald Observatory"
"WD 0806-661 b","WD 0806-661",8.00000000,2.00000000,-2.00000000,"Mass",19.24440000,"Spitzer Space Telescope"
"Kepler-63 b","Kepler-63",0.37800000,,,"Mass",194.03300000,"Kepler"
"Kepler-77 b","Kepler-77",0.43000000,0.03200000,-0.03200000,"Mass",639.41100000,"Kepler"
"HAT-P-44 c","HAT-P-44",4.00000000,1.40000000,-0.80000000,"Msini",347.85000000,"W. M. Keck Observatory"
"HATS-5 b","HATS-5",0.23700000,0.01200000,-0.01200000,"Mass",246.38400000,"HATSouth"
"HD 10180 d","HD 10180",10.37000000,,,"Mass",38.96070000,"La Silla Observatory"
"WTS-1 b","WTS-1",4.01000000,0.35000000,-0.35000000,"Mass",2346.01000000,"United Kingdom Infrared Telescope"
"HD 11506 d","HD 11506",12.80000000,0.60000000,-0.50000000,"Mass",51.26100000,"Multiple Observatories"
"CoRoT-26 b","CoRoT-26",0.52000000,0.05000000,-0.05000000,"Mass",1045.18000000,"CoRoT"
"CoRoT-25 b","CoRoT-25",0.27000000,0.04000000,-0.04000000,"Mass",1103.48000000,"CoRoT"
"Kepler-186 b","Kepler-186",0.00390000,,,"M-R relationship",177.59400000,"Kepler"
"91 Aqr b","91 Aqr",3.20000000,,,"Msini",44.03040000,"Lick Observatory"
"GJ 163 b","GJ 163",0.03335116,0.00188780,-0.00188780,"Msini",15.12850000,"La Silla Observatory"
"Kepler-27 c","Kepler-27",13.80000000,,,"Mass",1044.36000000,"Kepler"
"Kepler-27 b","Kepler-27",9.11000000,,,"Mass",1044.36000000,"Kepler"
"HD 215497 c","HD 215497",0.35000000,0.02000000,-0.02000000,"Mass",40.54680000,"La Silla Observatory"
"BD-06 1339 b","BD-06 1339",4.79200000,,,"Mass",20.26950000,"La Silla Observatory"
"Kepler-186 d","Kepler-186",0.00800000,,,"M-R relationship",177.59400000,"Kepler"
"Kepler-11 d","Kepler-11",0.02300000,0.00300000,-0.00500000,"Mass",646.34600000,"Kepler"
"Kepler-11 b","Kepler-11",0.00600000,0.00400000,-0.00300000,"Mass",646.34600000,"Kepler"
"Kepler-31 c","Kepler-31",4.70000000,,,"Mass",1664.64000000,"Kepler"
"Kepler-32 c","Kepler-32",0.50000000,,,"Mass",323.84700000,"Kepler"
"Kepler-1735 b","Kepler-1735",0.00578000,,,"M-R relationship",245.30300000,"Kepler"
"HD 66141 b","HD 66141",6.00000000,0.30000000,-0.30000000,"Msini",68.15090000,"Bohyunsan Optical Astronomical Observatory"
"HD 208527 b","HD 208527",9.90000000,1.70000000,-1.70000000,"Msini",312.20200000,"Bohyunsan Optical Astronomical Observatory"
"MOA-bin-1L b","MOA-bin-1L",3.70000000,2.10000000,-2.10000000,"Mass",5100.00000000,"MOA"
"GU Psc b","GU Psc",11.30000000,1.70000000,-1.70000000,"Mass",47.55010000,"Gemini Observatory"
"GJ 163 c","GJ 163",0.02139509,0.00283170,-0.00283170,"Msini",15.12850000,"La Silla Observatory"
"GJ 163 d","GJ 163",0.09250228,0.00912437,-0.00912437,"Msini",15.12850000,"La Silla Observatory"
"Kepler-32 d","Kepler-32",0.12556744,,,"Mass",323.84700000,"Kepler"
"Kepler-31 d","Kepler-31",6.80000000,,,"Mass",1664.64000000,"Kepler"
"HAT-P-45 b","HAT-P-45",0.89200000,0.13700000,-0.09900000,"Mass",298.64000000,"HATNet"
"HAT-P-44 b","HAT-P-44",0.35200000,0.02900000,-0.02900000,"Mass",347.85000000,"HATNet"
"MOA-2010-BLG-073L b","MOA-2010-BLG-073L",11.00000000,2.00000000,-2.00000000,"Mass",2800.00000000,"MOA"
"HAT-P-27 b","HAT-P-27",0.62000000,0.03000000,-0.03000000,"Mass",199.17300000,"HATNet"
"DENIS-P J082303.1-491201 b","DENIS-P J082303.1-491201",28.50000000,1.90000000,-1.90000000,"Mass",20.77000000,"Paranal Observatory"
"HIP 63242 b","HIP 63242",9.18000000,,,"Msini",156.45600000,"Multiple Observatories"
"Kepler-31 b","Kepler-31",0.11560263,,,"Mass",1664.64000000,"Kepler"
"Kepler-32 f","Kepler-32",3.04953232,,,"Mass",323.84700000,"Kepler"
"HD 66428 c","HD 66428",1.76400000,3.40400000,-0.04100000,"Mass",53.28170000,"Multiple Observatories"
"Kepler-424 c","Kepler-424",6.97000000,0.62000000,-0.62000000,"Msini",698.64600000,"McDonald Observatory"
"KMT-2023-BLG-1896L b","KMT-2023-BLG-1896L",0.05144285,0.03086571,-0.02655521,"Mass",5490.00000000,"KMTNet"
"HD 190984 b","HD 190984",3.58000000,1.20000000,-0.45000000,"Mass",148.18700000,"La Silla Observatory"
"Kepler-134 c","Kepler-134",0.00669000,,,"M-R relationship",334.79700000,"Kepler"
"Kepler-210 b","Kepler-210",0.02820000,,,"M-R relationship",232.75000000,"Kepler"
"Kepler-422 b","Kepler-422",0.43000000,0.13000000,-0.13000000,"Mass",722.79500000,"Kepler"
"Kepler-426 b","Kepler-426",0.34000000,0.08000000,-0.08000000,"Mass",843.69500000,"Kepler"
"Kepler-16 b","Kepler-16",0.33300000,0.01600000,-0.01600000,"Mass",75.08520000,"Kepler"
"KOI-94 d","KOI-94",0.33400000,0.03500000,-0.03500000,"Mass",477.05200000,"Kepler"
"KOI-94 b","KOI-94",0.03300000,0.01400000,-0.01400000,"Mass",477.05200000,"Kepler"
"Kepler-35 b","Kepler-35",0.12700000,0.02000000,-0.02000000,"Mass",1819.17000000,"Kepler"
"HD 103774 b","HD 103774",0.36700000,0.02200000,-0.02200000,"Msini",56.40890000,"La Silla Observatory"
"HD 109271 b","HD 109271",0.05400000,0.00400000,-0.00400000,"Msini",55.87160000,"La Silla Observatory"
"Kepler-415 c","Kepler-415",0.01480000,,,"M-R relationship",530.48700000,"Kepler"
"HD 50554 b","HD 50554",5.85000000,0.90000000,-0.52000000,"Mass",31.16640000,"Lick Observatory"
"Kepler-428 b","Kepler-428",1.27000000,0.19000000,-0.19000000,"Mass",686.28400000,"Kepler"
"Kepler-425 b","Kepler-425",0.25000000,0.08000000,-0.08000000,"Mass",646.64700000,"Kepler"
"WASP-70 A b","WASP-70 A",0.59000000,0.02200000,-0.02200000,"Mass",222.35500000,"SuperWASP"
"KOI-94 e","KOI-94",0.11000000,0.05700000,-0.08800000,"Mass",477.05200000,"Kepler"
"Kepler-396 c","Kepler-396",0.05600000,0.00900000,-0.00400000,"Mass",223.75700000,"Kepler"
"MOA-2010-BLG-477L b","MOA-2010-BLG-477L",1.50000000,0.80000000,-0.30000000,"Mass",2300.00000000,"MOA"
"HD 183263 b","HD 183263",3.47100000,0.28900000,-0.30400000,"Msini",54.19550000,"W. M. Keck Observatory"
"HD 166724 b","HD 166724",3.80000000,0.65000000,-0.29000000,"Mass",45.13420000,"La Silla Observatory"
"Kepler-122 f","Kepler-122",0.11300000,0.06100000,-0.05100000,"Mass",1027.45000000,"Kepler"
"Kepler-96 b","Kepler-96",0.02700000,0.01100000,-0.01100000,"Mass",122.88100000,"Kepler"
"KOI-13 b","KOI-13",9.28000000,0.16000000,-0.16000000,"Mass",519.09600000,"Kepler"
"Kepler-17 b","Kepler-17",2.45000000,0.11000000,-0.11000000,"Mass",720.75300000,"Kepler"
"TOI-7510 d","TOI-7510",0.59700000,0.06400000,-0.06400000,"Mass",249.00600000,"Transiting Exoplanet Survey Satellite (TESS)"
"CoRoT-23 b","CoRoT-23",2.80000000,0.30000000,-0.30000000,"Mass",1060.97000000,"CoRoT"
"BD+20 274 b","BD+20 274",4.20000000,,,"Msini",1322.51000000,"McDonald Observatory"
"HD 219415 b","HD 219415",1.00000000,,,"Msini",165.18400000,"McDonald Observatory"
