KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE
 ,K,[cm/s2],Msun,d,d, ,ppm, , , ,deg,deg
--------,----,-----,-------,------,------,---,----------,------,-------,-,---------,---------
5784457,5607,4.44,0.9937,10.096,0.169,   ,4043.46,0.72,0.4472,0,289.77444,41.03853
5785418,4658,4.38,0.744,9.369,0.005,   ,15248.54,1.445,0.7426,0,290.04834,41.00847
5785481,5388,4.83,0.935,23.913,0.204,   ,2629.7,0.551,0.4019,0,290.0672,41.0809
5785952,6351,4.23,1.2221,4.506,1.031,   ,388.03,0.34,0.2722,0,290.20517,41.06114
5786072,4730,4.33,0.7634,28.031,0.065,   ,5083.68,0.732,0.4961,0,290.23325,41.08882
5786132,5556,4.96,0.9798,17.344,0.155,   ,14400.93,1.124,0.6203,0,290.25076,41.07292
5786235,5714,4.6,1.0233,27.616,4.889,   ,2196.91,0.503,0.2954,0,290.27982,41.06311
5786369,5792,4.52,1.0454,20.423,4.203,   ,2655.42,0.405,0.2858,0,290.31552,41.023
5786382,4790,4.07,0.7793,1.516,0.008,   ,71301.22,1.582,0.7452,0,290.31921,41.03865
5786765,5751,4.56,1.0337,11.204,0.027,   ,8512.56,1.173,0.6737,0,290.42429,41.0872
5787054,6018,4.43,1.1125,6.139,0.029,   ,2964.05,0.787,0.5032,0,290.51614,41.09387
5787337,5240,4.82,0.8964,21.803,0.167,   ,5234.3,0.876,0.5554,0,290.61316,41.00481
5787689,5332,4.8,0.9203,21.026,0.383,   ,7875.06,0.976,0.577,0,290.72479,41.04777
5787762,5557,4.52,0.9801,27.962,0.724,   ,5755.48,0.496,0.3068,0,290.74588,41.01858
5787868,5237,4.71,0.8956,14.81,0.066,   ,25582.46,1.415,0.6936,0,290.77808,41.04811
5787950,5178,4.41,0.8803,18.035,0.317,   ,5101.71,1.203,0.6527,0,290.80176,41.05591
5788010,5527,4.58,0.972,17.916,0.029,   ,4603.71,0.791,0.5371,0,290.82175,41.06586
5788095,5231,4.76,0.894,12.303,0.045,   ,7971.5,1.174,0.6571,0,290.85504,41.01935
5788323,5526,4.96,0.9717,14.521,0.126,   ,7559.3,1.196,0.6618,0,290.93802,41.02865
5788363,6490,4.19,1.2725,5.033,0.004,   ,695.17,0.774,0.4993,0,290.95386,41.03928
